Unnamed: 0,Video link,Notes,Muscles used,Compound or isolation ,Unnamed: 5,Compound or isolation
Sit > Stand > Step > RDL > FW,,,"Hamstrings, Glutes, Lower Back",,,Compound
Sit to Stand,,,General / Functional Muscles,,,Compound
Sit Ups,,,General / Functional Muscles,,,Compound
Sitting to Standing with Forward step,,,General / Functional Muscles,,,Compound
Sitting to Standing with Left step,,,General / Functional Muscles,,,Compound
Sitting to Standing with Right step,,,General / Functional Muscles,,,Compound
Ski Erg,,,General / Functional Muscles,,,Compound
Ski Jumps,,"Jump laterally from side to side, landing on one foot.",General / Functional Muscles,,,Compound
Ski-Erg,,,General / Functional Muscles,,,Compound
Skull Crushers,https://youtu.be/jO2Jl9eZpXk,,General / Functional Muscles,,,Compound
Sled Pulls,,,General / Functional Muscles,,,Compound
Sled Pushes,,,General / Functional Muscles,,,Compound
Spanish Squats,https://youtu.be/1CJ3hteGxo4,,General / Functional Muscles,,,Compound
Speed Bench Press,,,"Chest, Triceps, Shoulders",,,Compound
Spinal Rotations,,,General / Functional Muscles,,,Compound
Split Leg Crunch,,,Abdominals,,,Isolation
Split Squat,https://youtu.be/hXpGSa5HYqY,,"Quadriceps, Glutes, Hamstrings",,,Compound
Split Squat Calf Raise,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Split Squat Jumps,,"Start in a lunge position and jump, switching legs in the air","Quadriceps, Glutes, Hamstrings",,,Compound
Split Squat Jumps with Knee Drive,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Split Squats,,,General / Functional Muscles,,,Compound
Spoto Press,https://youtu.be/VOPzLx52fec,Stop the Bar about 1 inch from the chest.,General / Functional Muscles,,,Compound
Squat Jumps,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Squat Pulses,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Squat Test,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Squat to Calf Raise,,"Perform a squat and then rise onto your toes at the top, engaging your calves.","Quadriceps, Glutes, Hamstrings",,,Compound
Squat to Overhead Press,,,"Quadriceps, Glutes, Hamstrings",,,Compound
Squats,https://youtu.be/aclHkVaku9U,,General / Functional Muscles,,,Compound
Squats - Medicine Ball,https://youtu.be/kVWtlBl5PvU,,General / Functional Muscles,,,Compound
Squats with Resistance Band,,,General / Functional Muscles,,,Compound
Stability Ball Rollouts,,,General / Functional Muscles,,,Compound
Standing Arm Stretch,,,General / Functional Muscles,,,Compound
Standing Bicycle Crunch,,,Abdominals,,,Isolation
Standing Cable Crossovers,,,General / Functional Muscles,,,Compound
Standing Hip Abduction,,,General / Functional Muscles,,,Compound
Standing Kickbacks,,"Kick one leg back while keeping it straight, then return",General / Functional Muscles,,,Compound
Standing Lat Push Downs,,,General / Functional Muscles,,,Compound
Standing Long Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Standing Low Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Standing Oblique Crunches,,,General / Functional Muscles,,,Compound
Standing Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Standing Posture with Balloon - Arm Pulls,,,General / Functional Muscles,,,Compound
Standing Side Bend,,,General / Functional Muscles,,,Compound
Standing Up Holding Weights,,,General / Functional Muscles,,,Compound
Standing Wall Plank,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Standing Windmill Stretch,,,General / Functional Muscles,,,Compound
Static Ankle Flexability Test,,"The athlete warms up for 10 minutes
The athlete removes their shoes
The athlete stands to face the wall, feet together close to the base of the wall, arms outstretched above the head on the wall and chest against the wall
The athlete slowly moves both feet away from the wall as far as possible
The assistant checks to ensure that the athlete's feet are together, heels on the ground, chest against the wall and arms outstretched above the head on the wall – the athlete is to adjust their position so these conditions are met
The assistant measures and records the distance along the ground from the wall to the big toes
, The test is repeated three times, and the longest distance is used to assess the athlete's performance",General / Functional Muscles,,,Compound
Static Flexability Test - Shoulder,,"The athlete warms up for 10 minutes
The athlete holds the rope in front of them with both hands shoulder-width apart
The athlete extends the arms over their head and down behind them (allowing the hands to slide along the rope as they do so) until the rope touches their lower back
The athlete holds the final position whist measurements are recorded
The assistant measures and records the distance between the tips of the athlete's thumbs
The assistant measures and records the shoulder width
The assistant subtracts the shoulder measurement from the thumb measurement and records the result

The test is repeated three times, and the longest distance, following subtraction, is used to assess the athlete's performance",General / Functional Muscles,,,Compound
Static Flexability Test for Hip and Trunk,,"The athlete warms up for 10 minutes and then removes their shoes
The assistant secures the ruler to the box top with the tape so that the front edge of the box lines up with the zero mark on the ruler and the zero end of the ruler points towards the athlete
The athlete sits on the floor with their legs fully extended and the bottom of their bare feet against the box
The athlete places one hand on top of the other, slowly bends forward and reaches along the top of the ruler as far as possible, holding the stretch for two seconds
The assistant records the distance reached by the athlete's fingertips
The athlete performs the test three times
The assistant calculates and records the average of the three distances and uses this value to assess the athlete's performance",General / Functional Muscles,,,Compound
Static Flexibility Test - Shoulder and Wrist,,"The athlete warms up for 10 minutes
The athlete lays prone on the floor, forehead on the ground, and arms extended, holding the 18” stick with both hands shoulder-width apart
The assistant measures and records the athlete's arm length from the acromial extremity to the stick
The athlete raises the stick as high as possible while keeping their forehead on the ground
The assistant measures and records the vertical distance from the ground to the bottom of the stick
Repeat the test 3 times, recording the vertical distance achieved

The assistant subtracts the longest recorded vertical distance from the recorded arm length, and the result is used to assess the athlete's performance",General / Functional Muscles,,,Compound
Static Flexibility Test - Trunk and Neck,,"The athlete warms up for 10 minutes
The athlete lies prone on the floor with hands clasped at the side of the head
The 1st assistant holds the athlete's feet down on the ground throughout the test
The athlete raises their head and trunk as high as possible
The 2nd assistant measures and records the vertical distance from the ground to the tip of the athlete's nose
The test is repeated 3 times

The longest recorded vertical distance is used to assess the athlete's performance",General / Functional Muscles,,,Compound
Stationary Marching,,,General / Functional Muscles,,,Compound
Stationary Marching with Arm Swings,,,General / Functional Muscles,,,Compound
Step Forward,,,General / Functional Muscles,,,Compound
Step Jumps - In & Out,,,General / Functional Muscles,,,Compound
Step Touches,https://youtu.be/wH9hsR7Ck_M,,General / Functional Muscles,,,Compound
Step Turns,,,General / Functional Muscles,,,Compound
Step Ups,,,General / Functional Muscles,,,Compound
Steps Over Line,,"Step Forward and Backwards over line
Step Side to Side over line

Changing on command",General / Functional Muscles,,,Compound
Straight Leg Lift,https://youtu.be/vlyAfKAfGrE,,General / Functional Muscles,,,Compound
Straight Leg Run,,,General / Functional Muscles,,,Compound
Stretch & Cool Down Focusing on the Full Body,,,General / Functional Muscles,,,Compound
Stretching & Foam Rolling,,,General / Functional Muscles,,,Compound
Suitcase Carry,,,"Grip, Core, Shoulders, Legs",,,Isometric
Sumo Deadlifts,,,General / Functional Muscles,,,Compound
Sumo Squats,,,General / Functional Muscles,,,Compound
Superman,,"Lie face down and lift arms, chest, and legs off the floor, holding in a “superman” position.",General / Functional Muscles,,,Compound
Superman Lat Squeeze,,"Lying face-down, raise arms and legs, then pull elbows toward hips like a pull-down.",General / Functional Muscles,,,Compound
Swiss Ball Back Extensions,https://youtu.be/-VGatJfoRmA,,General / Functional Muscles,,,Compound
Swiss Ball Crunch,https://youtu.be/O4d3kd1ZLyc,,Abdominals,,,Isolation
Swiss Ball Jackknife,https://youtu.be/3uhhwe3yWqw,,General / Functional Muscles,,,Compound
Swiss Ball Lower Body Rotations,,,General / Functional Muscles,,,Compound
Swiss Ball Plank with Kicks,,,"Core (Abdominals, Obliques, Transverse Abdominis)",,,Isometric
Swiss Ball Pull In,https://youtu.be/utYNSXNUiTE,,General / Functional Muscles,,,Compound
Swiss Ball Rollout,,,General / Functional Muscles,,,Compound
Swiss Ball Side Crunch,,,Abdominals,,,Isolation
T Bar Row,https://youtu.be/8c23NBbwLBc,,"Lats, Rhomboids, Biceps",,,Compound
T-Bar Rows,,,General / Functional Muscles,,,Compound
Tandem Walk,,,General / Functional Muscles,,,Compound
Thread the Needle,https://youtu.be/gyew25Vaqj8,,General / Functional Muscles,,,Compound
Tibialis Trainer,,,General / Functional Muscles,,,Compound
Timber Drill - A,,Stand upright. Fall forwards. Stop yourself with one leg.,General / Functional Muscles,,,Compound
Timber Drill - B,,"Stand in running pose, fall forwards. Stop yourself with airborne leg.",General / Functional Muscles,,,Compound
Timber Drill - C,,Stand upright. Fall forwards. Stop yourself with one leg then run forwards 10 meters,General / Functional Muscles,,,Compound
Timber Drill - D,,"Stand in running pose, fall forwards. Stop yourself with airborne leg then run forwards 10 meters",General / Functional Muscles,,,Compound
Timed Up and Go Test,,"Time how long it takes to stand up from a chair, walk 3 meters, turn and sit back down.",General / Functional Muscles,,,Compound
Toe Curls,https://youtu.be/tPBCtChBXPc,,General / Functional Muscles,,,Compound
Toe Raises,,,General / Functional Muscles,,,Compound
Toe Taps,,,General / Functional Muscles,,,Compound
Toe Touches,,,General / Functional Muscles,,,Compound
Torso Twists,,,General / Functional Muscles,,,Compound
Trap Bar Deadlifts,,,General / Functional Muscles,,,Compound
Treadmill,,,General / Functional Muscles,,,Compound
Tricep Dips,https://youtu.be/caSPqr3q-BM,,General / Functional Muscles,,,Compound
Tricep Extensions,https://youtu.be/uO19C033r30,,General / Functional Muscles,,,Compound
Tricep Extensions with Resistance Band,https://youtu.be/Agw0Y8gFlhI,,General / Functional Muscles,,,Compound
Tricep Kickback,https://youtu.be/6SS6K3lAwZ8,,"Glutes, Hamstrings",,,Compound
Tricep Stretch,https://youtu.be/nbHOmIYMazk,,General / Functional Muscles,,,Compound
Trunk Twist,,,General / Functional Muscles,,,Compound
TRX - inverted Row,https://youtu.be/Pphkx7x9KR0,,"Lats, Rhomboids, Biceps",,,Compound
TRX Bicep Curl,https://youtu.be/xG57S0fgXAk,,Biceps,,,Isolation
TRX Body Saw,https://youtu.be/R8QwySflzLQ,,General / Functional Muscles,,,Compound
TRX Chest Flyes,https://youtu.be/A0ptzi0tfM4,,General / Functional Muscles,,,Compound
TRX Hamstring Curls,https://youtu.be/JcJ2i2gUW3o,,General / Functional Muscles,,,Compound
TRX Knee Tucks,https://youtu.be/hbn-tQaQqho,,General / Functional Muscles,,,Compound
TRX Leg Adduction / Abduction,https://youtu.be/sFVVaIRf-sU,,General / Functional Muscles,,,Compound
TRX Mountain Climbers,https://youtu.be/ycyDni_h5W0,,General / Functional Muscles,,,Compound
TRX Oblique Fallaways,https://youtu.be/FhKhhZ_7Zqs,,General / Functional Muscles,,,Compound
TRX Skull Crushers,https://youtu.be/QhTw87cxiJs,,General / Functional Muscles,,,Compound
TRX Squats,,,General / Functional Muscles,,,Compound
TRX Tricep Extension,https://youtu.be/xODm0GuXPMY,,Triceps,,,Isolation
Tuck Jumps,,,General / Functional Muscles,,,Compound
Turkish Get-Ups,https://youtu.be/sgd8n917Zv0,,General / Functional Muscles,,,Compound
Twisting Crunches,,,General / Functional Muscles,,,Compound
Twisting Hanging Leg Raises,,,General / Functional Muscles,,,Compound
Twisting Swiss Ball Crunch,https://youtu.be/ZBU8oTXnkVM,,Abdominals,,,Isolation
Tyre Flips,,,General / Functional Muscles,,,Compound
Upper Body Stretching,,,General / Functional Muscles,,,Compound
Upright Rows,,,General / Functional Muscles,,,Compound
V Ups,,,General / Functional Muscles,,,Compound
W Y Raise,https://youtu.be/1rgVJjbwGN0,,General / Functional Muscles,,,Compound
Waist to Hip Ratio,,"The athlete is to stand with good posture and relax
The assistant measures and records the athlete's hips and waist measurements (inches)
The assistant divides the waist measurement by the hip measurement and records the result (hip-to-waist ratio)",General / Functional Muscles,,,Compound
Waiter Curls,https://youtu.be/iP7li-35nzg,,General / Functional Muscles,,,Compound
Waiter Finger Curls,,,General / Functional Muscles,,,Compound
Walk,,,General / Functional Muscles,,,Compound
Walk to the end of the car park and back,,,General / Functional Muscles,,,Compound
Walking & Catching Ball,,"Start with throwing and catching in one hand
Progress to throwing from one hand to the other
Walking - throwing and catching with one hand
Progress to throwing from one hand to the other while walking",General / Functional Muscles,,,Compound
Walking Intervals,,,General / Functional Muscles,,,Compound
Walking Lunges,https://youtu.be/wrwwXE_x-pQ,,General / Functional Muscles,,,Compound
Wall Angels,https://youtu.be/ywYi4rBhRBQ,,General / Functional Muscles,,,Compound
,,,General / Functional Muscles,,,Compound
Wall Ball Squats,,,General / Functional Muscles,,,Compound
Wall Balls,https://youtu.be/CBLlvg7gsJc,,General / Functional Muscles,,,Compound
Wall Hip Circles,https://youtu.be/nUr60MbKgcU,,General / Functional Muscles,,,Compound
Wall Holds,,"Use a box or bench to squat down onto, helping you focus on proper depth and control, while building strength in the lower squat range.",General / Functional Muscles,,,Compound
Wall Push Ups,,,General / Functional Muscles,,,Compound
Wall Sit,,,"Quadriceps, Glutes",,,Isometric
Wall Sit with Ball,,,"Quadriceps, Glutes",,,Isometric
Wall Sit with Band Pulse,,"Sit against the wall in a squat position, and pulse your knees outward while maintaining tension on the band.","Quadriceps, Glutes",,,Isometric
Wall Sit with Bicep Curl,,,"Quadriceps, Glutes",,,Isometric
Wall Sit with Calf Raise,https://youtu.be/swEcJVu5Zv4,,"Calves (Gastrocnemius, Soleus)",,,Isolation
Wall Sits,,,General / Functional Muscles,,,Compound
Wall Sits with Leg Lift,,,General / Functional Muscles,,,Compound
Wall Slides,,,General / Functional Muscles,,,Compound
Wall Squats,,,General / Functional Muscles,,,Compound
Weighted Hip Hinge,,,General / Functional Muscles,,,Compound
Weighted Jumps,https://youtu.be/9NtPSMlVfPA,,General / Functional Muscles,,,Compound
Weighted Sit Up with Arms Up,,,Abdominals,,,Isolation
Wood Chops,,,General / Functional Muscles,,,Compound
Worlds Greatest Stretch,https://youtu.be/-CiWQ2IvY34,,General / Functional Muscles,,,Compound
Wrist Curls,https://youtu.be/3VLTzIrnb5g,,General / Functional Muscles,,,Compound
Wrist Flexion / Extension,,,General / Functional Muscles,,,Compound
Wrist Rotations,https://youtu.be/hPrMv2C8XdI,,General / Functional Muscles,,,Compound
Zottman Curls,https://youtu.be/wrjEdVZrkhk,,General / Functional Muscles,,,Compound
